,SPA,WAC,corpus,modelname,numTest,numTrain,testRole,trainRole
0,18.31442463533225,20.504926108374384,Clinical_Levy_Netanel_Utterance.csv,TrigramLearner,1234,1686,Target_Child,Adult
0,22.366288492706644,30.665024630541872,Clinical_Levy_Netanel_Utterance.csv,AdjLearner,1234,1686,Target_Child,Adult
0,11.183144246353322,25.307881773399014,Clinical_Levy_Netanel_Utterance.csv,ProminenceLearner,1234,1686,Target_Child,Adult
0,19.93517017828201,30.84975369458128,Clinical_Levy_Netanel_Utterance.csv,AdjPromLearner,1234,1686,Target_Child,Adult
0,20.233939319008755,35.81308558421237,Clinical_Levy_Elior_Utterance.csv,ChanceLearner,222,2128,Adult,Adult
0,63.06306306306306,80.80985915492958,Clinical_Levy_Elior_Utterance.csv,BigramLearner,222,2128,Adult,Adult
0,63.96396396396396,82.04225352112677,Clinical_Levy_Elior_Utterance.csv,TrigramLearner,222,2128,Adult,Adult
0,74.32432432432432,87.14788732394366,Clinical_Levy_Elior_Utterance.csv,AdjLearner,222,2128,Adult,Adult
0,76.12612612612612,86.26760563380282,Clinical_Levy_Elior_Utterance.csv,ProminenceLearner,222,2128,Adult,Adult
0,81.98198198198199,90.49295774647888,Clinical_Levy_Elior_Utterance.csv,AdjPromLearner,222,2128,Adult,Adult
0,28.13039976785304,40.39738491202671,Clinical_Levy_Elior_Utterance.csv,ChanceLearner,1954,2350,Target_Child,Adult
0,29.98976458546571,39.15401301518438,Clinical_Levy_Elior_Utterance.csv,BigramLearner,1954,2350,Target_Child,Adult
0,26.714431934493348,33.6767895878525,Clinical_Levy_Elior_Utterance.csv,TrigramLearner,1954,2350,Target_Child,Adult
0,30.808597748208804,39.80477223427332,Clinical_Levy_Elior_Utterance.csv,AdjLearner,1954,2350,Target_Child,Adult
0,13.715455475946776,28.579175704989154,Clinical_Levy_Elior_Utterance.csv,ProminenceLearner,1954,2350,Target_Child,Adult
0,28.454452405322417,37.25596529284165,Clinical_Levy_Elior_Utterance.csv,AdjPromLearner,1954,2350,Target_Child,Adult
0,10.23850053986499,26.6295276722642,Eng-NA_MacWhinney_Utterance.csv,ChanceLearner,4907,44633,Adult,Adult
0,25.636845323007947,53.57626544777383,Eng-NA_MacWhinney_Utterance.csv,BigramLearner,4907,44633,Adult,Adult
0,23.53780313837375,42.34382935500254,Eng-NA_MacWhinney_Utterance.csv,TrigramLearner,4907,44633,Adult,Adult
0,34.86855512533116,61.80379211105468,Eng-NA_MacWhinney_Utterance.csv,AdjLearner,4907,44633,Adult,Adult
0,27.85816180965967,50.736414423565265,Eng-NA_MacWhinney_Utterance.csv,ProminenceLearner,4907,44633,Adult,Adult
0,37.986549826778074,60.6314542068732,Eng-NA_MacWhinney_Utterance.csv,AdjPromLearner,4907,44633,Adult,Adult
0,10.359888195780202,25.40130291373521,Eng-NA_MacWhinney_Utterance.csv,ChanceLearner,35620,49540,Target_Child,Adult
0,24.775407074677148,47.60578152141851,Eng-NA_MacWhinney_Utterance.csv,BigramLearner,35620,49540,Target_Child,Adult
0,21.31106120157215,32.893054963783555,Eng-NA_MacWhinney_Utterance.csv,TrigramLearner,35620,49540,Target_Child,Adult
0,30.63166760247052,53.46487059311942,Eng-NA_MacWhinney_Utterance.csv,AdjLearner,35620,49540,Target_Child,Adult
0,23.607523862998317,43.91585548381458,Eng-NA_MacWhinney_Utterance.csv,ProminenceLearner,35620,49540,Target_Child,Adult
0,32.074677147669846,51.055903335409084,Eng-NA_MacWhinney_Utterance.csv,AdjPromLearner,35620,49540,Target_Child,Adult
0,16.78190090285293,31.16777021233214,Eng-UK_Wells_Jack_Utterance.csv,ChanceLearner,194,1952,Adult,Adult
0,45.876288659793815,75.52870090634441,Eng-UK_Wells_Jack_Utterance.csv,BigramLearner,194,1952,Adult,Adult
0,47.93814432989691,79.30513595166163,Eng-UK_Wells_Jack_Utterance.csv,TrigramLearner,194,1952,Adult,Adult
0,64.94845360824742,83.98791540785498,Eng-UK_Wells_Jack_Utterance.csv,AdjLearner,194,1952,Adult,Adult
0,66.49484536082474,79.75830815709969,Eng-UK_Wells_Jack_Utterance.csv,ProminenceLearner,194,1952,Adult,Adult
0,74.22680412371135,88.06646525679758,Eng-UK_Wells_Jack_Utterance.csv,AdjPromLearner,194,1952,Adult,Adult
0,25.1048179158731,36.22539654281869,Eng-UK_Wells_Jack_Utterance.csv,ChanceLearner,2040,2146,Target_Child,Adult
0,35.3921568627451,43.72150849564857,Eng-UK_Wells_Jack_Utterance.csv,BigramLearner,2040,2146,Target_Child,Adult
0,33.431372549019606,32.73932863655201,Eng-UK_Wells_Jack_Utterance.csv,TrigramLearner,2040,2146,Target_Child,Adult
0,37.450980392156865,46.12515540820555,Eng-UK_Wells_Jack_Utterance.csv,AdjLearner,2040,2146,Target_Child,Adult
0,22.647058823529413,38.00248653128885,Eng-UK_Wells_Jack_Utterance.csv,ProminenceLearner,2040,2146,Target_Child,Adult
0,35.78431372549019,46.58101947782843,Eng-UK_Wells_Jack_Utterance.csv,AdjPromLearner,2040,2146,Target_Child,Adult
0,12.211537065764176,28.032310131318983,Spanish_FernAguado_JavierJ_Utterance.csv,ChanceLearner,224,1944,Adult,Adult
0,33.92857142857143,70.58823529411765,Spanish_FernAguado_JavierJ_Utterance.csv,BigramLearner,224,1944,Adult,Adult
0,38.392857142857146,77.39938080495357,Spanish_FernAguado_JavierJ_Utterance.csv,TrigramLearner,224,1944,Adult,Adult
0,52.67857142857143,79.97936016511868,Spanish_FernAguado_JavierJ_Utterance.csv,AdjLearner,224,1944,Adult,Adult
0,48.660714285714285,70.38183694530444,Spanish_FernAguado_JavierJ_Utterance.csv,ProminenceLearner,224,1944,Adult,Adult
0,59.82142857142857,82.86893704850361,Spanish_FernAguado_JavierJ_Utterance.csv,AdjPromLearner,224,1944,Adult,Adult
0,17.6682423864064,33.43642039241657,Spanish_FernAguado_JavierJ_Utterance.csv,ChanceLearner,1384,2168,Target_Child,Adult
0,30.202312138728324,47.00193423597679,Spanish_FernAguado_JavierJ_Utterance.csv,BigramLearner,1384,2168,Target_Child,Adult
0,25.0,30.077369439071568,Spanish_FernAguado_JavierJ_Utterance.csv,TrigramLearner,1384,2168,Target_Child,Adult
0,31.502890173410403,50.04835589941973,Spanish_FernAguado_JavierJ_Utterance.csv,AdjLearner,1384,2168,Target_Child,Adult
0,24.13294797687861,43.42359767891683,Spanish_FernAguado_JavierJ_Utterance.csv,ProminenceLearner,1384,2168,Target_Child,Adult
0,28.46820809248555,49.129593810444874,Spanish_FernAguado_JavierJ_Utterance.csv,AdjPromLearner,1384,2168,Target_Child,Adult
0,17.03704372229156,31.597378109303158,Spanish_FernAguado_Eneko_Utterance.csv,ChanceLearner,178,1422,Adult,Adult
0,37.640449438202246,70.52810902896081,Spanish_FernAguado_Eneko_Utterance.csv,BigramLearner,178,1422,Adult,Adult
